meeting_id,n_utterances,duration_s,der,missed_speech,false_alarm,speaker_confusion
EN2002a,25,62.26,0.76663,0.253241,0.03438,0.479009
EN2002b,25,52.93,0.326006,0.286098,0.014384,0.025524
EN2002c,25,43.4,0.60833,0.284272,0.080743,0.243316
EN2002d,25,70.85,0.595458,0.150186,0.067759,0.377513
ES2004a,25,72.15,0.235108,0.123279,0.028852,0.082977
ES2004b,25,106.31,0.112045,0.062924,0.038159,0.010963
ES2004c,25,58.63,0.17014,0.142146,0.012466,0.015528
ES2004d,25,70.62,0.16189,0.040959,0.052976,0.067954
IS1009a,25,63.12,0.149232,0.028719,0.089241,0.031272
IS1009b,25,68.98,0.291348,0.011085,0.076716,0.203547
IS1009c,25,115.47,0.055671,0.008709,0.040772,0.006191
IS1009d,25,159.59,0.141391,0.025815,0.079935,0.035641
TS3003a,25,50.9,0.453239,0.241099,0.079904,0.132236
TS3003b,25,89.46,0.183413,0.146982,0.031242,0.005188
TS3003c,25,94.07,0.123028,0.057819,0.061227,0.003981
TS3003d,25,92.58,0.240266,0.162299,0.043881,0.034086
